cpu_link,name,Ranking,Base CPU freq,Max CPU freq,Cores,Threads,TDP,Max operating temperature,Released,Core / Architecture,Lithography,Official website,Max GPU frequency,Memory Type,Max RAM,Integrated GPU,Base GPU frequency,LL Cache,AI Performance
https://laptopmedia.com/processor/amd-ryzen-9-7945hx/,amd ryzen 9 7945hx,1.0,2.5,5.45,16.0,32.0,55.0,100.0,2023.0,Dragon Range,5.0,amd,2200.0,DDR5,64.0,AMD Radeon 610M,,81920.0,
https://laptopmedia.com/processor/amd-ryzen-9-7940hx/,amd ryzen 9 7940hx,2.0,2.4,5.2,12.0,24.0,55.0,100.0,2024.0,Dragon Range-HX,5.0,amd,2200.0,DDR5,64.0,AMD Radeon 610M,400.0,65536.0,
https://laptopmedia.com/processor/amd-ryzen-9-7945hx3d/,amd ryzen 9 7945hx3d,3.0,2.3,5.4,16.0,32.0,55.0,89.0,2023.5,Dragon Range-HX,5.0,amd,2200.0,DDR5,64.0,AMD Radeon 610M,400.0,131072.0,
https://laptopmedia.com/processor/intel-core-i9-13980hx/,intel core i9-13980hx,4.0,1.6,5.6,24.0,32.0,55.0,100.0,2023.0,Raptor Lake-HX,10.0,intel,1650.0,DDR5,128.0,Intel UHD Graphics 770,,36.0,
https://laptopmedia.com/processor/intel-core-i9-14900hx/,intel core i9-14900hx,5.0,1.6,5.8,24.0,32.0,55.0,100.0,2024.0,Raptor Lake-HX Refresh,10.0,intel,,DDR4,192.0,,,36.0,
https://laptopmedia.com/processor/intel-core-i9-13950hx/,intel core i9-13950hx,6.0,1.6,5.5,24.0,32.0,55.0,100.0,2023.0,Raptor Lake-HX,10.0,,1650.0,DDR5,,Intel UHD Graphics 770,,36.0,
https://laptopmedia.com/processor/intel-core-i9-13900hx/,intel core i9-13900hx,7.0,1.6,5.4,24.0,32.0,55.0,100.0,2023.0,Raptor Lake-HX,10.0,intel,1650.0,DDR5,128.0,Intel UHD Graphics 770,,36864.0,
https://laptopmedia.com/processor/amd-ryzen-9-7845hx/,amd ryzen 9 7845hx,8.0,3.0,5.2,12.0,24.0,55.0,100.0,2023.0,Dragon Range-HX,5.0,amd,2200.0,DDR5,64.0,AMD Radeon 610M,400.0,65536.0,
https://laptopmedia.com/processor/intel-core-i7-14700hx/,intel core i7-14700hx,9.0,1.5,5.5,20.0,28.0,55.0,100.0,2024.0,Raptor Lake-HX Refresh,10.0,intel,,DDR4,192.0,,,33.0,
https://laptopmedia.com/processor/intel-core-i7-13850hx/,intel core i7-13850hx,10.0,1.5,5.3,20.0,28.0,55.0,100.0,2023.0,Raptor Lake-HX,10.0,intel,1600.0,DDR5,128.0,Intel UHD Graphics 770,,30.0,
https://laptopmedia.com/processor/intel-core-i7-14650hx/,intel core i7-14650hx,11.0,1.6,5.2,16.0,24.0,55.0,100.0,2024.0,Raptor Lake-HX Refresh,10.0,intel,,DDR4,192.0,,,30.0,
https://laptopmedia.com/processor/apple-m3-max-16-core-cpu/,apple m3 max (16-core cpu),12.0,0.0,0.0,16.0,16.0,,,2023.75,Apple M3,3.0,apple,,,,,,,"18.0"
https://laptopmedia.com/processor/apple-m3-max-14-core-cpu/,apple m3 max (14-core cpu),13.0,0.0,0.0,14.0,14.0,,,2023.75,Apple M3,3.0,apple,,,,,,,"18.0"
