CPU: Name,CPU: Codename,CPU: Max operating temperature,CPU: Core,CPU: Thread,CPU: Base frequency,CPU: Max frequency,CPU: Release quarter,CPU: LL Cache,CPU: Lithography
3020e,Raven Ridge,105.0,2.0,2.0,1200.0,2600.0,2020.5,4096.0,14.0
a4-9120e,Stoney Ridge,90.0,2.0,2.0,1500.0,2200.0,,1024.0,28.0
athlon gold 7220u,Mendocino,95.0,2.0,4.0,2400.0,3700.0,2022.5,4096.0,6.0
athlon silver 3050e,Raven Ridge,105.0,2.0,4.0,,2800.0,2020.25,4096.0,14.0
athlon silver 3050u,nan,95.0,2.0,2.0,2300.0,3200.0,2020.0,4096.0,14.0
ryzen 3 3250u,Raven Ridge,95.0,2.0,4.0,2600.0,3500.0,2020.0,4096.0,14.0
ryzen 3 4300u,Renoir,105.0,4.0,4.0,2700.0,3700.0,2020.0,4096.0,7.0
ryzen 3 5300u,Lucienne,105.0,4.0,8.0,2600.0,3800.0,2021.0,4096.0,7.0
ryzen 3 5425u,Barcelo,95.0,4.0,8.0,2700.0,4100.0,2022.0,8192.0,7.0
ryzen 3 7320c,nan,,4.0,8.0,2400.0,4100.0,2023.25,4096.0,6.0
ryzen 3 7320u,Mendocino,95.0,4.0,8.0,2400.0,4100.0,2022.5,4096.0,6.0
ryzen 3 7330u,Barcelo-R,95.0,4.0,8.0,2300.0,4300.0,2023.0,8192.0,7.0
ryzen 3 7335u,Rembrandt-R,95.0,4.0,8.0,3000.0,4300.0,2023.0,8192.0,6.0
ryzen 3 pro 4450u,Renoir,105.0,4.0,8.0,2400.0,3700.0,2020.25,4096.0,7.0
ryzen 5 3450u,nan,105.0,4.0,8.0,2100.0,3500.0,,4096.0,12.0
ryzen 5 3450u,nan,105.0,4.0,8.0,2100.0,3500.0,,4096.0,12.0
ryzen 5 4600h,Renoir,105.0,6.0,12.0,3000.0,4000.0,2020.0,11264.0,7.0
ryzen 5 4600hs,Renoir,105.0,6.0,12.0,3000.0,4000.0,2020.0,11264.0,7.0
ryzen 5 4600u,Renoir,105.0,6.0,12.0,2100.0,4000.0,2020.0,11264.0,7.0
ryzen 5 4680u,nan,105.0,6.0,12.0,2100.0,4000.0,2021.25,8192.0,7.0
ryzen 5 5500u,Lucienne,105.0,6.0,12.0,2100.0,4000.0,2021.0,8192.0,7.0
ryzen 5 5600h,nan,105.0,6.0,12.0,3300.0,4200.0,2021.0,16384.0,7.0
ryzen 5 5600hs,Cezanne,105.0,6.0,12.0,3000.0,4200.0,2021.0,16384.0,7.0
ryzen 5 5600u,Cezanne-U,105.0,6.0,12.0,2300.0,4200.0,2021.0,16384.0,7.0
ryzen 5 5625u,Barcelo,95.0,6.0,12.0,2300.0,4300.0,2022.0,16384.0,7.0
ryzen 5 5625u,Barcelo,95.0,6.0,12.0,2300.0,4300.0,2022.0,16384.0,7.0
ryzen 5 5650u,nan,105.0,6.0,12.0,2300.0,4200.0,2021.0,12288.0,7.0
ryzen 5 6600h,Rembrandt,95.0,6.0,12.0,3300.0,4500.0,2022.0,16384.0,6.0
ryzen 5 6600hs,Rembrandt,95.0,6.0,12.0,3300.0,4500.0,2022.0,16384.0,6.0
ryzen 5 6600u,Rembrandt,95.0,6.0,12.0,2900.0,4500.0,2022.0,16384.0,6.0
ryzen 5 7520c,nan,,4.0,8.0,2800.0,4300.0,2023.25,4096.0,6.0
