GPU: Name,GPU: Process Size (nm),GPU: Architecture,GPU: Memory Type,GPU: Memory Frequency (MHz),GPU: Memory Size,GPU: Base Clock,GPU: Memory Bus,GPU: Release quarter,GPU: Power Consumption
"2x  radeon r9 m290x (4gb gddr5, crossfire)",28.0,Neptune,DDR5,1200.0,4.0,850.0,256.0,2014.0,100.0
radeon 530 (2gb ddr3),28.0,Weston,DDR3,900.0,2.0,730.0,64.0,2017.25,50.0
radeon 530 (2gb gddr5),28.0,Weston,DDR5,900.0,2.0,730.0,64.0,2017.25,50.0
radeon 535 / 530x (2gb gddr5),28.0,Polaris 24,DDR5,1125.0,2.0,730.0,64.0,2017.25,50.0
radeon 610,28.0,Banks,DDR5,1000.0,2.0,,64.0,2019.25,50.0
radeon 610m,6.0,Dragon Range,shared,0.0,0.0,400.0,0.0,2022.5,15.0
radeon 620,28.0,Polaris 24,DDR5,1000.0,2.0,,64.0,2019.25,50.0
radeon 625,28.0,Polaris 24,DDR5,1125.0,2.0,730.0,64.0,2019.25,50.0
radeon 630,14.0,Polaris 23,DDR5,1500.0,2.0,1082.0,128.0,2019.25,50.0
radeon 660m,6.0,Rembrandt+,shared,0.0,0.0,1500.0,0.0,2022.0,40.0
radeon 680m,6.0,Rembrandt+,shared,0.0,0.0,2000.0,0.0,2022.0,50.0
radeon 740m,4.0,Phoenix,shared,0.0,0.0,800.0,0.0,2023.0,15.0
radeon 760m,4.0,Phoenix,shared,0.0,0.0,800.0,0.0,2023.0,15.0
radeon 780m,4.0,Phoenix,shared,0.0,0.0,800.0,0.0,2023.0,15.0
radeon 880m,4.0,Strix Point,shared,0.0,0.0,400.0,0.0,2024.5,15.0
radeon 890m,4.0,Strix Point,shared,0.0,0.0,400.0,0.0,2024.5,15.0
radeon pro 5300m (4gb gddr6),7.0,Navi 14,DDR6,1500.0,4.0,1000.0,128.0,2019.75,85.0
radeon pro 5500m (8gb gddr6),7.0,Navi 14,DDR6,1500.0,8.0,1000.0,128.0,2019.75,85.0
radeon pro 555x (4gb gddr5),14.0,Polaris 21,DDR5,1470.0,4.0,,128.0,2018.5,75.0
radeon pro 5600m (8gb hbm2),7.0,Navi 12,HBM2,770.0,8.0,822.0,2048.0,2020.25,50.0
radeon pro 560x (4gb gddr5),14.0,Polaris 21,DDR5,1470.0,4.0,,128.0,2018.5,75.0
radeon pro w6600m,7.0,Navi 23,DDR6,1750.0,8.0,1224.0,128.0,2021.25,90.0
radeon pro wx 3200 (4gb gddr5),14.0,Polaris 23,DDR5,1000.0,4.0,,128.0,2019.5,65.0
radeon r3 (beema),28.0,Beema,shared,0.0,0.0,350.0,0.0,2015.0,15.0
radeon r4,28.0,Stoney,shared,0.0,0.0,200.0,0.0,2016.25,15.0
