,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Bus Interface,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L1 Cache,L2 Cache,Pixel Rate,Texture Rate,FP32 (float),FP64 (double),TDP,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,SMM Count,SM Count,Tensor Cores,RT Cores,L0 Cache,L3 Cache,Name
0,Opal,GCN 1.0,TSMC,28 nm,950 million,77 mm²,"Apr 23rd, 2015",FirePro Mobile,PCIe 3.0 x8,825 MHz,900 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,7.200 GPixel/s,21.60 GTexel/s,691.2 GFLOPS,43.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,FirePro M4170
1,Mars,GCN 1.0,TSMC,28 nm,950 million,77 mm²,Unknown,FirePro Mobile,PCIe 3.0 x8,775 MHz,825 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,6.600 GPixel/s,19.80 GTexel/s,633.6 GFLOPS,,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,FirePro W4130M
2,Mars,GCN 1.0,TSMC,28 nm,950 million,77 mm²,Unknown,FirePro Mobile,PCIe 3.0 x8,800 MHz,850 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,6.800 GPixel/s,20.40 GTexel/s,652.8 GFLOPS,,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,FirePro W4150M
3,Opal,GCN 1.0,TSMC,28 nm,950 million,77 mm²,"Apr 23rd, 2015",FirePro Mobile,PCIe 3.0 x8,825 MHz,900 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,7.200 GPixel/s,21.60 GTexel/s,691.2 GFLOPS,43.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,FirePro W4170M
4,Opal,GCN 1.0,TSMC,28 nm,950 million,77 mm²,"Nov 12th, 2015",FirePro Mobile,PCIe 3.0 x8,825 MHz,900 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,7.200 GPixel/s,21.60 GTexel/s,691.2 GFLOPS,43.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,FirePro W4190M
5,Tropo,GCN 1.0,TSMC,28 nm,"1,500 million",123 mm²,"Oct 2nd, 2015",FirePro Mobile,PCIe 3.0 x16,900 MHz,925 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,512,32,16,8.0,16 KB (per CU),256 KB,14.80 GPixel/s,29.60 GTexel/s,947.2 GFLOPS,59.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,FirePro W5130M
6,Emerald,GCN 2.0,TSMC,28 nm,"2,080 million",160 mm²,"Nov 12th, 2015",FirePro Mobile,MXM-B (3.0),,,1375 MHz,4 GB,GDDR5,128 bit,88.00 GB/s,768,48,16,12.0,16 KB (per CU),256 KB,17.20 GPixel/s,51.60 GTexel/s,1.651 TFLOPS,103.2 GFLOPS,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,FirePro W6150M
7,Amethyst,GCN 3.0,TSMC,28 nm,"5,000 million",366 mm²,"Oct 2nd, 2015",FirePro Mobile,PCIe 3.0 x16,,,1250 MHz,4 GB,GDDR5,256 bit,160.0 GB/s,2048,128,32,32.0,16 KB (per CU),512 KB,23.14 GPixel/s,92.54 GTexel/s,2.961 TFLOPS,185.1 GFLOPS,100 W,12,4.6,2.1,1.2.170,6.5,,,,,,,FirePro W7170M
8,Caicos,TeraScale 2,TSMC,40 nm,370 million,67 mm²,"Sep 29th, 2015",Embedded,PCIe 2.0 x16,,,800 MHz,2 GB,GDDR5,64 bit,25.60 GB/s,160,8,4,2.0,8 KB (per CU),128 KB,2.400 GPixel/s,4.800 GTexel/s,192.0 GFLOPS,,25 W,11.2,4.4,1.2,,5.0,,,,,,,Radeon E6465
9,Saturn,GCN 2.0,TSMC,28 nm,"2,080 million",160 mm²,"Sep 29th, 2015",Embedded,MXM-B (3.0),,,1500 MHz,4 GB,GDDR5,128 bit,96.00 GB/s,768,48,16,12.0,16 KB (per CU),256 KB,16.00 GPixel/s,48.00 GTexel/s,1.536 TFLOPS,96.00 GFLOPS,75 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon E8870 MXM
10,Saturn,GCN 2.0,TSMC,28 nm,"2,080 million",160 mm²,"Sep 29th, 2015",Embedded,PCIe 3.0 x16,,,1500 MHz,4 GB,GDDR5,128 bit,96.00 GB/s,768,48,16,12.0,16 KB (per CU),256 KB,16.00 GPixel/s,48.00 GTexel/s,1.536 TFLOPS,96.00 GFLOPS,75 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon E8870 PCIe
11,Amethyst,GCN 3.0,TSMC,28 nm,"5,000 million",366 mm²,"Sep 29th, 2015",Embedded,MXM-B (3.0),735 MHz,1000 MHz,1500 MHz,8 GB,GDDR5,256 bit,192.0 GB/s,2048,128,32,32.0,16 KB (per CU),512 KB,32.00 GPixel/s,128.0 GTexel/s,4.096 TFLOPS,256.0 GFLOPS,95 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon E8950
12,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jan 28th, 2015",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,1.200 GPixel/s,2.400 GTexel/s,76.80 GFLOPS,4.800 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R2 Mobile Graphics
13,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jan 28th, 2015",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,1.988 GPixel/s,3.976 GTexel/s,127.2 GFLOPS,7.952 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R2 Mobile Graphics
14,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jan 28th, 2015",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,1.200 GPixel/s,2.400 GTexel/s,76.80 GFLOPS,4.800 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R2E Mobile Graphics
15,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jan 28th, 2015",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,2.400 GPixel/s,4.800 GTexel/s,153.6 GFLOPS,9.600 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R3 Mobile Graphics
16,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jan 28th, 2015",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,1.404 GPixel/s,2.808 GTexel/s,89.86 GFLOPS,5.616 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R3E Mobile Graphics
17,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,2015,All-In-One,PCIe 3.0 x8,750 MHz,825 MHz,1000 MHz,1024 MB,DDR3,64 bit,16.00 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,6.600 GPixel/s,16.50 GTexel/s,528.0 GFLOPS,,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 A320
18,Exo,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Oct 21st, 2015",All-In-One,PCIe 3.0 x8,,,900 MHz,2 GB,DDR3,64 bit,14.40 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,8.240 GPixel/s,20.60 GTexel/s,659.2 GFLOPS,,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 A330
19,Exo,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Oct 21st, 2015",All-In-One,PCIe 3.0 x8,,,900 MHz,2 GB,DDR3,64 bit,14.40 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,8.560 GPixel/s,21.40 GTexel/s,684.8 GFLOPS,,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 A335
20,Meso,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,"May 5th, 2015",Gem System,PCIe 3.0 x8,,,900 MHz,2 GB,DDR3,64 bit,14.40 GB/s,384,24,8,6.0,16 KB (per CU),128 KB,7.760 GPixel/s,23.28 GTexel/s,745.0 GFLOPS,46.56 GFLOPS,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R5 M315
