Column,0,a_1,a_2
0,3020e,3020e,
1,a4-9120e,a4-9120e,A4-9120e SoC
2,athlon gold 7220u,athlon gold 7220u,"athlon gold 7220u"
3,athlon silver 3050e,athlon silver 3050e,
4,athlon silver 3050u,athlon silver 3050u,
5,ryzen 3 3250u,ryzen 3 3250u,"ryzen 3 3250u"
6,ryzen 3 4300u,ryzen 3 4300u,"ryzen 3 4300u"
7,ryzen 3 5300u,ryzen 3 5300u,"ryzen 3 5300u"
8,ryzen 3 5425u,ryzen 3 5425u,"ryzen 3 5425u"
9,ryzen 3 7320c,ryzen 3 7320c,
10,ryzen 3 7320u,ryzen 3 7320u,"ryzen 3 7320u"
11,ryzen 3 7330u,ryzen 3 7330u,"ryzen 3 7330u"
12,ryzen 3 7335u,ryzen 3 7335u,"ryzen 3 7335u"
13,ryzen 3 pro 4450u,ryzen 3 pro 4450u,"ryzen 3 pro 4450u"
14,ryzen 5 3450u,ryzen 5 3450u,
15,ryzen 5 3450u,ryzen 5 3450u,
16,ryzen 5 4600h,ryzen 5 4600h,"ryzen 5 4600h"
17,ryzen 5 4600hs,ryzen 5 4600hs,"ryzen 5 4600hs"
18,ryzen 5 4600u,ryzen 5 4600u,"ryzen 5 4600u"
19,ryzen 5 4680u,ryzen 5 4680u,
20,ryzen 5 5500u,ryzen 5 5500u,"ryzen 5 5500u"
21,ryzen 5 5600h,ryzen 5 5600h,
22,ryzen 5 5600hs,ryzen 5 5600hs,"ryzen 5 5600hs"
23,ryzen 5 5600u,ryzen 5 5600u,"ryzen 5 5600u"
24,ryzen 5 5625u,ryzen 5 5625u,"ryzen 5 5625u"
25,ryzen 5 5625u,ryzen 5 5625u,"ryzen 5 5625u"
26,ryzen 5 5650u,ryzen 5 5650u,
27,ryzen 5 6600h,ryzen 5 6600h,"ryzen 5 6600h"
28,ryzen 5 6600hs,ryzen 5 6600hs,"ryzen 5 6600hs"
29,ryzen 5 6600u,ryzen 5 6600u,"ryzen 5 6600u"
30,ryzen 5 7520c,ryzen 5 7520c,
31,ryzen 5 7520u,ryzen 5 7520u,"ryzen 5 7520u"
32,ryzen 5 7530u,ryzen 5 7530u,"ryzen 5 7530u"
33,ryzen 5 7535hs,ryzen 5 7535hs,"ryzen 5 7535hs"
34,ryzen 5 7535u,ryzen 5 7535u,"ryzen 5 7535u"
35,ryzen 5 7540u,ryzen 5 7540u,"ryzen 5 7540u"
36,ryzen 5 7640hs,ryzen 5 7640hs,"ryzen 5 7640hs"
37,ryzen 5 7640u,ryzen 5 7640u,"ryzen 5 7640u"
38,ryzen 5 7645hx,ryzen 5 7645hx,"ryzen 5 7645hx"
39,ryzen 5 8540u,ryzen 5 8540u,"ryzen 5 8540u"
40,ryzen 5 8640hs,ryzen 5 8640hs,"ryzen 5 8640hs"
41,ryzen 5 8640u,ryzen 5 8640u,"ryzen 5 8640u"
42,ryzen 5 8645hs,ryzen 5 8645hs,"ryzen 5 8645hs"
43,ryzen 5 pro 4650u,ryzen 5 pro 4650u,"ryzen 5 pro 4650u"
44,ryzen 5 pro 5675u,ryzen 5 pro 5675u,"ryzen 5 pro 5675u"
45,ryzen 5 pro 6650u,ryzen 5 pro 6650u,"ryzen 5 pro 6650u"
46,ryzen 5 pro 7530u,ryzen 5 pro 7530u,"ryzen 5 pro 7530u"
47,ryzen 5 pro 7640hs,ryzen 5 pro 7640hs,
48,ryzen 7 4700u,ryzen 7 4700u,"ryzen 7 4700u"
49,ryzen 7 4800u,ryzen 7 4800u,"ryzen 7 4800u"
50,ryzen 7 4980u,ryzen 7 4980u,
51,ryzen 7 5700u,ryzen 7 5700u,"ryzen 7 5700u"
52,ryzen 7 5800h,ryzen 7 5800h,"ryzen 7 5800h"
53,ryzen 7 5800h,ryzen 7 5800h,"ryzen 7 5800h"
54,ryzen 7 5800hs,ryzen 7 5800hs,"ryzen 7 5800hs"
55,ryzen 7 5800u,ryzen 7 5800u,"ryzen 7 5800u"
56,ryzen 7 5825u,ryzen 7 5825u,"ryzen 7 5825u"
57,ryzen 7 5850u,ryzen 7 5850u,
58,ryzen 7 6800h,ryzen 7 6800h,"ryzen 7 6800h"
59,ryzen 7 6800hs,ryzen 7 6800hs,"ryzen 7 6800hs"
60,ryzen 7 6800u,ryzen 7 6800u,"ryzen 7 6800u"
61,ryzen 7 7730u,ryzen 7 7730u,"ryzen 7 7730u"
62,ryzen 7 7735hs,ryzen 7 7735hs,"ryzen 7 7735hs"
