,link,name
0,/cpu-specs/ryzen-3-7330u.c3035,Ryzen 3 7330U
1,/cpu-specs/ryzen-3-7335u.c3038,Ryzen 3 7335U
2,/cpu-specs/ryzen-3-7440u.c3363,Ryzen 3 7440U
3,/cpu-specs/ryzen-3-8440u.c3407,Ryzen 3 8440U
4,/cpu-specs/ryzen-3-pro-7330u.c3273,Ryzen 3 PRO 7330U
5,/cpu-specs/ryzen-5-7530u.c3036,Ryzen 5 7530U
6,/cpu-specs/ryzen-5-7535h.c3188,Ryzen 5 7535H
7,/cpu-specs/ryzen-5-7535hs.c3042,Ryzen 5 7535HS
8,/cpu-specs/ryzen-5-7535u.c3039,Ryzen 5 7535U
9,/cpu-specs/ryzen-5-7540u.c3364,Ryzen 5 7540U
10,/cpu-specs/ryzen-5-7545u.c3365,Ryzen 5 7545U
11,/cpu-specs/ryzen-5-7640h.c3270,Ryzen 5 7640H
12,/cpu-specs/ryzen-5-7640hs.c3034,Ryzen 5 7640HS
13,/cpu-specs/ryzen-5-7640u.c3205,Ryzen 5 7640U
14,/cpu-specs/ryzen-5-7645hx.c3021,Ryzen 5 7645HX
15,/cpu-specs/ryzen-5-8540u.c3406,Ryzen 5 8540U
16,/cpu-specs/ryzen-5-8640hs.c3404,Ryzen 5 8640HS
17,/cpu-specs/ryzen-5-8640u.c3405,Ryzen 5 8640U
18,/cpu-specs/ryzen-5-8645hs.c3403,Ryzen 5 8645HS
19,/cpu-specs/ryzen-5-pro-7530u.c3274,Ryzen 5 PRO 7530U
20,/cpu-specs/ryzen-7-7730u.c3037,Ryzen 7 7730U
21,/cpu-specs/ryzen-7-7735h.c3187,Ryzen 7 7735H
22,/cpu-specs/ryzen-7-7735hs.c3041,Ryzen 7 7735HS
23,/cpu-specs/ryzen-7-7735u.c3040,Ryzen 7 7735U
24,/cpu-specs/ryzen-7-7736u.c3186,Ryzen 7 7736U
25,/cpu-specs/ryzen-7-7745hx.c3025,Ryzen 7 7745HX
26,/cpu-specs/ryzen-7-7840h.c3271,Ryzen 7 7840H
27,/cpu-specs/ryzen-7-7840hs.c3033,Ryzen 7 7840HS
28,/cpu-specs/ryzen-7-7840u.c3212,Ryzen 7 7840U
29,/cpu-specs/ryzen-7-8840hs.c3401,Ryzen 7 8840HS
30,/cpu-specs/ryzen-7-8840u.c3402,Ryzen 7 8840U
31,/cpu-specs/ryzen-7-8845hs.c3400,Ryzen 7 8845HS
32,/cpu-specs/ryzen-7-pro-7730u.c3275,Ryzen 7 PRO 7730U
33,/cpu-specs/ryzen-9-7845hx.c3026,Ryzen 9 7845HX
34,/cpu-specs/ryzen-9-7940h.c3272,Ryzen 9 7940H
35,/cpu-specs/ryzen-9-7940hs.c3020,Ryzen 9 7940HS
36,/cpu-specs/ryzen-9-7945hx.c3027,Ryzen 9 7945HX
37,/cpu-specs/ryzen-9-7945hx3d.c3263,Ryzen 9 7945HX3D
38,/cpu-specs/ryzen-9-8945hs.c3399,Ryzen 9 8945HS
39,/cpu-specs/ryzen-z1.c3287,Ryzen Z1
40,/cpu-specs/ryzen-z1-extreme.c3276,Ryzen Z1 Extreme
41,/cpu-specs/steam-deck-cpu-oled.c3398,Steam Deck CPU (OLED)
42,/cpu-specs/atom-x7211e.c3012,Atom x7211E
43,/cpu-specs/atom-x7213e.c3011,Atom x7213E
44,/cpu-specs/atom-x7425e.c3013,Atom x7425E
45,/cpu-specs/core-ultra-5-115u.c3556,Core Ultra 5 115U
46,/cpu-specs/core-ultra-5-125h.c3309,Core Ultra 5 125H
47,/cpu-specs/core-ultra-5-125u.c3557,Core Ultra 5 125U
48,/cpu-specs/core-ultra-5-134u.c3555,Core Ultra 5 134U
49,/cpu-specs/core-ultra-5-135h.c3419,Core Ultra 5 135H
50,/cpu-specs/core-ultra-5-135u.c3558,Core Ultra 5 135U
51,/cpu-specs/core-ultra-7-155h.c3307,Core Ultra 7 155H
52,/cpu-specs/core-ultra-7-155u.c3524,Core Ultra 7 155U
53,/cpu-specs/core-ultra-7-164u.c3525,Core Ultra 7 164U
54,/cpu-specs/core-ultra-7-165h.c3306,Core Ultra 7 165H
55,/cpu-specs/core-ultra-7-165u.c3523,Core Ultra 7 165U
56,/cpu-specs/core-ultra-9-185h.c3308,Core Ultra 9 185H
57,/cpu-specs/core-i3-1305u.c3062,Core i3-1305U
58,/cpu-specs/core-i3-1315u.c3063,Core i3-1315U
59,/cpu-specs/core-i3-1315ue.c3073,Core i3-1315UE
60,/cpu-specs/core-i3-n300.c3014,Core i3-N300
61,/cpu-specs/core-i3-n305.c3015,Core i3-N305
62,/cpu-specs/core-i5-1334u.c3064,Core i5-1334U
63,/cpu-specs/core-i5-1335u.c3065,Core i5-1335U
64,/cpu-specs/core-i5-1335ue.c3066,Core i5-1335UE
65,/cpu-specs/core-i5-1340p.c3061,Core i5-1340P
66,/cpu-specs/core-i5-13420h.c3058,Core i5-13420H
67,/cpu-specs/core-i5-13450hx.c3032,Core i5-13450HX
68,/cpu-specs/core-i5-1345u.c3067,Core i5-1345U
69,/cpu-specs/core-i5-1345ue.c3068,Core i5-1345UE
70,/cpu-specs/core-i5-13500h.c3057,Core i5-13500H
71,/cpu-specs/core-i5-13500hx.c3031,Core i5-13500HX
72,/cpu-specs/core-i5-13505h.c3056,Core i5-13505H
73,/cpu-specs/core-i5-1350p.c3060,Core i5-1350P
74,/cpu-specs/core-i5-13600h.c3054,Core i5-13600H
