,GPU Name,Architecture,Foundry,Process Size,Transistors,Density,Die Size,Chip Package,Release Date,Generation,Predecessor,Successor,Production,Bus Interface,Reviews,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L1 Cache,L2 Cache,Pixel Rate,Texture Rate,FP32 (float),FP64 (double),Slot Width,TDP,Outputs,Power Connectors,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,GPU Variant,GPU Clock,FP16 (half),Board Number,Execution Units,SMX Count,CUDA,SMM Count,Availability,SM Count,Tensor Cores,RT Cores,L0 Cache,Game Clock,L3 Cache,Codename,MCD Process,Process Type,GCD Transistors,MCD Transistors,GCD Density,MCD Density,GCD Die Size,MCD Die Size,Launch Price,Length,Width,Height,Part Number,Shader Clock
0,Opal,GCN 1.0,TSMC,28 nm,950 million,12.3M / mm²,77 mm²,FCBGA-962,"Apr 23rd, 2015",FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x8,10 in our database,825 MHz,900 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6,16 KB (per CU),256 KB,7.200 GPixel/s,21.60 GTexel/s,691.2 GFLOPS,43.20 GFLOPS,MXM Module,unknown,Portable Device Dependent,None,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mars,GCN 1.0,TSMC,28 nm,950 million,12.3M / mm²,77 mm²,FCBGA-631/962,Unknown,FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x8,10 in our database,775 MHz,825 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6,16 KB (per CU),256 KB,6.600 GPixel/s,19.80 GTexel/s,633.6 GFLOPS,,MXM Module,unknown,Portable Device Dependent,None,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mars,GCN 1.0,TSMC,28 nm,950 million,12.3M / mm²,77 mm²,FCBGA-631/962,Unknown,FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x8,10 in our database,800 MHz,850 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6,16 KB (per CU),256 KB,6.800 GPixel/s,20.40 GTexel/s,652.8 GFLOPS,,MXM Module,unknown,Portable Device Dependent,None,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opal,GCN 1.0,TSMC,28 nm,950 million,12.3M / mm²,77 mm²,FCBGA-962,"Apr 23rd, 2015",FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x8,10 in our database,825 MHz,900 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,384,24,8,6,16 KB (per CU),256 KB,7.200 GPixel/s,21.60 GTexel/s,691.2 GFLOPS,43.20 GFLOPS,MXM Module,unknown,Portable Device Dependent,None,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Opal,GCN 1.0,TSMC,28 nm,950 million,12.3M / mm²,77 mm²,FCBGA-962,"Nov 12th, 2015",FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x8,10 in our database,825 MHz,900 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,384,24,8,6,16 KB (per CU),256 KB,7.200 GPixel/s,21.60 GTexel/s,691.2 GFLOPS,43.20 GFLOPS,MXM Module,unknown,Portable Device Dependent,None,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tropo,GCN 1.0,TSMC,28 nm,"1,500 million",12.2M / mm²,123 mm²,FCBGA-962,"Oct 2nd, 2015",FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x16,10 in our database,900 MHz,925 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,512,32,16,8,16 KB (per CU),256 KB,14.80 GPixel/s,29.60 GTexel/s,947.2 GFLOPS,59.20 GFLOPS,,unknown,Portable Device Dependent,,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),Tropo LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Emerald,GCN 2.0,TSMC,28 nm,"2,080 million",13.0M / mm²,160 mm²,FCBGA-1093,"Nov 12th, 2015",FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,MXM-B (3.0),,,,1375 MHz,4 GB,GDDR5,128 bit,88.00 GB/s,768,48,16,12,16 KB (per CU),256 KB,17.20 GPixel/s,51.60 GTexel/s,1.651 TFLOPS,103.2 GFLOPS,MXM Module,unknown,Portable Device Dependent,None,12,4.6,2.1,1.2.170,6.5,Emerald XT GL,1075 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Amethyst,GCN 3.0,TSMC,28 nm,"5,000 million",13.7M / mm²,366 mm²,,"Oct 2nd, 2015",FirePro Mobile,FirePro Mobility,Radeon Pro Mobile,End-of-life,PCIe 3.0 x16,10 in our database,,,1250 MHz,4 GB,GDDR5,256 bit,160.0 GB/s,2048,128,32,32,16 KB (per CU),512 KB,23.14 GPixel/s,92.54 GTexel/s,2.961 TFLOPS,185.1 GFLOPS,MXM Module,100 W,Portable Device Dependent,None,12,4.6,2.1,1.2.170,6.5,Amethyst XT GL,723 MHz,2.961 TFLOPS,C608,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Caicos,TeraScale 2,TSMC,40 nm,370 million,5.5M / mm²,67 mm²,FCBGA-631,"Sep 29th, 2015",Embedded,,,End-of-life,PCIe 2.0 x16,,,,800 MHz,2 GB,GDDR5,64 bit,25.60 GB/s,160,8,4,2,8 KB (per CU),128 KB,2.400 GPixel/s,4.800 GTexel/s,192.0 GFLOPS,,Single-slot,25 W,Portable Device Dependent,None,11.2,4.4,1.2,N/A,5.0,,600 MHz,,109-C91147-00_04,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Saturn,GCN 2.0,TSMC,28 nm,"2,080 million",13.0M / mm²,160 mm²,FCBGA-1093,"Sep 29th, 2015",Embedded,,,End-of-life,MXM-B (3.0),3 in our database,,,1500 MHz,4 GB,GDDR5,128 bit,96.00 GB/s,768,48,16,12,16 KB (per CU),256 KB,16.00 GPixel/s,48.00 GTexel/s,1.536 TFLOPS,96.00 GFLOPS,MXM Module,75 W,Portable Device Dependent,None,12,4.6,2.1,1.2.170,6.5,Saturn ES8870,1000 MHz,,C600,,,,,,,,,,,,,,,,,,,,,,,,,,
