,link,name
0,/gpu-specs/firepro-m4170.c2723,FirePro M4170
1,/gpu-specs/firepro-w4130m.c2704,FirePro W4130M
2,/gpu-specs/firepro-w4150m.c2703,FirePro W4150M
3,/gpu-specs/firepro-w4170m.c4064,FirePro W4170M
4,/gpu-specs/firepro-w4190m.c2799,FirePro W4190M
5,/gpu-specs/firepro-w5130m.c2769,FirePro W5130M
6,/gpu-specs/firepro-w6150m.c2798,FirePro W6150M
7,/gpu-specs/firepro-w7170m.c2768,FirePro W7170M
8,/gpu-specs/radeon-e6465.c2766,Radeon E6465
9,/gpu-specs/radeon-e8870-mxm.c4040,Radeon E8870 MXM
10,/gpu-specs/radeon-e8870-pcie.c2767,Radeon E8870 PCIe
11,/gpu-specs/radeon-e8950.c2765,Radeon E8950
12,/gpu-specs/radeon-r2-mobile-graphics.c2500,Radeon R2 Mobile Graphics
13,/gpu-specs/radeon-r2-mobile-graphics.c3634,Radeon R2 Mobile Graphics
14,/gpu-specs/radeon-r2e-mobile-graphics.c4043,Radeon R2E Mobile Graphics
15,/gpu-specs/radeon-r3-mobile-graphics.c2494,Radeon R3 Mobile Graphics
16,/gpu-specs/radeon-r3e-mobile-graphics.c3635,Radeon R3E Mobile Graphics
17,/gpu-specs/radeon-r5-a320.c2728,Radeon R5 A320
18,/gpu-specs/radeon-r5-a330.c3110,Radeon R5 A330
19,/gpu-specs/radeon-r5-a335.c2935,Radeon R5 A335
20,/gpu-specs/radeon-r5-m315.c2895,Radeon R5 M315
21,/gpu-specs/radeon-r5-m320.c2693,Radeon R5 M320
22,/gpu-specs/radeon-r5-m330.c2681,Radeon R5 M330
23,/gpu-specs/radeon-r5-m335.c2692,Radeon R5 M335
24,/gpu-specs/radeon-r5-mobile-graphics.c3005,Radeon R5 Mobile Graphics
25,/gpu-specs/radeon-r6-m335dx.c2941,Radeon R6 M335DX
26,/gpu-specs/radeon-r6-m340dx.c2942,Radeon R6 M340DX
27,/gpu-specs/radeon-r6-mobile-graphics.c2780,Radeon R6 Mobile Graphics
28,/gpu-specs/radeon-r7-a360.c2712,Radeon R7 A360
29,/gpu-specs/radeon-r7-a360.c3111,Radeon R7 A360
30,/gpu-specs/radeon-r7-m260x.c2483,Radeon R7 M260X
31,/gpu-specs/radeon-r7-m340.c3109,Radeon R7 M340
32,/gpu-specs/radeon-r7-m340.c2687,Radeon R7 M340
33,/gpu-specs/radeon-r7-m350.c2745,Radeon R7 M350
34,/gpu-specs/radeon-r7-m360.c2686,Radeon R7 M360
35,/gpu-specs/radeon-r7-m365x.c2762,Radeon R7 M365X
36,/gpu-specs/radeon-r7-m370.c2695,Radeon R7 M370
37,/gpu-specs/radeon-r7-m380.c3046,Radeon R7 M380
38,/gpu-specs/radeon-r7-mobile-graphics.c2779,Radeon R7 Mobile Graphics
39,/gpu-specs/radeon-r8-m350dx.c2802,Radeon R8 M350DX
