cpu_link,name,html
https://laptopmedia.com/processor/amd-ryzen-9-7945hx/,AMD Ryzen 9 7945HX,
https://laptopmedia.com/processor/amd-ryzen-9-7940hx/,AMD Ryzen 9 7940HX,
https://laptopmedia.com/processor/amd-ryzen-9-7945hx3d/,AMD Ryzen 9 7945HX3D,
https://laptopmedia.com/processor/intel-core-i9-13980hx/,Intel Core i9-13980HX,
https://laptopmedia.com/processor/intel-core-i9-14900hx/,Intel Core i9-14900HX,
https://laptopmedia.com/processor/intel-core-i9-13950hx/,Intel Core i9-13950HX,
https://laptopmedia.com/processor/intel-core-i9-13900hx/,Intel Core i9-13900HX,
https://laptopmedia.com/processor/amd-ryzen-9-7845hx/,AMD Ryzen 9 7845HX,
https://laptopmedia.com/processor/intel-core-i7-14700hx/,Intel Core i7-14700HX,
https://laptopmedia.com/processor/intel-core-i7-13850hx/,Intel Core i7-13850HX,
https://laptopmedia.com/processor/intel-core-i7-14650hx/,Intel Core i7-14650HX,
https://laptopmedia.com/processor/apple-m3-max-16-core-cpu/,Apple M3 Max (16-core CPU),
https://laptopmedia.com/processor/apple-m3-max-14-core-cpu/,Apple M3 Max (14-core CPU),
https://laptopmedia.com/processor/intel-core-i7-13700hx/,Intel Core i7-13700HX,
https://laptopmedia.com/processor/intel-core-i5-13600hx/,Intel Core i5-13600HX,
https://laptopmedia.com/processor/amd-ryzen-ai-9-hx-370/,AMD Ryzen AI 9 HX 370,
https://laptopmedia.com/processor/intel-core-i7-13650hx/,Intel Core i7-13650HX,
https://laptopmedia.com/processor/intel-core-i9-13900hk/,Intel Core i9-13900HK,
https://laptopmedia.com/processor/intel-core-ultra-9-185h/,Intel Core Ultra 9 185H,
https://laptopmedia.com/processor/intel-core-i9-12900hx/,Intel Core i9-12900HX,
https://laptopmedia.com/processor/intel-core-i7-12850hx/,Intel Core i7-12850HX,
https://laptopmedia.com/processor/intel-core-i7-13705h/,Intel Core i7-13705H,
https://laptopmedia.com/processor/intel-core-i7-12800hx/,Intel Core i7-12800HX,
https://laptopmedia.com/processor/intel-core-i9-13900h/,Intel Core i9-13900H,
https://laptopmedia.com/processor/intel-core-i9-12950hx/,Intel Core i9-12950HX,
https://laptopmedia.com/processor/amd-ryzen-7-7745hx/,AMD Ryzen 7 7745HX,
https://laptopmedia.com/processor/intel-core-i5-14500hx/,Intel Core i5-14500HX,
https://laptopmedia.com/processor/intel-core-i9-13905h/,Intel Core i9-13905H,
https://laptopmedia.com/processor/intel-core-i7-13800h/,Intel Core i7-13800H,
https://laptopmedia.com/processor/intel-core-i5-13500hx/,Intel Core i5-13500HX,
https://laptopmedia.com/processor/amd-ryzen-9-8945hs/,AMD Ryzen 9 8945HS,
https://laptopmedia.com/processor/amd-ryzen-7-7840hs/,AMD Ryzen 7 7840HS,
https://laptopmedia.com/processor/amd-ryzen-9-7940hs/,AMD Ryzen 9 7940HS,
https://laptopmedia.com/processor/intel-core-i9-12900hk/,Intel Core i9-12900HK,
https://laptopmedia.com/processor/amd-ryzen-7-8845hs/,AMD Ryzen 7 8845HS,
https://laptopmedia.com/processor/intel-core-i7-13700h/,Intel Core i7-13700H,
https://laptopmedia.com/processor/amd-ryzen-9-pro-7940hs/,AMD Ryzen 9 PRO 7940HS,
https://laptopmedia.com/processor/intel-core-i9-12900h/,Intel Core i9-12900H,
https://laptopmedia.com/processor/intel-core-ultra-7-165h/,Intel Core Ultra 7 165H,
https://laptopmedia.com/processor/intel-core-i5-13450hx/,Intel Core i5-13450HX,
https://laptopmedia.com/processor/amd-ryzen-7-pro-7840hs/,AMD Ryzen 7 PRO 7840HS,
https://laptopmedia.com/processor/amd-ryzen-7-8840hs/,AMD Ryzen 7 8840HS,
https://laptopmedia.com/processor/intel-core-ultra-7-155h/,Intel Core Ultra 7 155H,
https://laptopmedia.com/processor/intel-core-i7-12700h/,Intel Core i7-12700H,
https://laptopmedia.com/processor/core-i7-12800h/,Intel Core i7-12800H,
https://laptopmedia.com/processor/apple-m3-pro-12-core-cpu/,Apple M3 Pro (12-core CPU),
https://laptopmedia.com/processor/intel-core-i5-14450hx/,Intel Core i5-14450HX,
https://laptopmedia.com/processor/intel-core-i7-13620h/,Intel Core i7-13620H,
https://laptopmedia.com/processor/intel-core-i5-13600h/,Intel Core i5-13600H,
https://laptopmedia.com/processor/intel-core-i5-13500h/,Intel Core i5-13500H,
https://laptopmedia.com/processor/intel-core-ultra-5-135h/,Intel Core Ultra 5 135H,
https://laptopmedia.com/processor/intel-core-ultra-5-125h/,Intel Core Ultra 5 125H,
https://laptopmedia.com/processor/apple-m2-max/,Apple M2 Max,
https://laptopmedia.com/processor/apple-m2-pro-12-core-cpu/,Apple M2 Pro (12-core CPU),
https://laptopmedia.com/processor/amd-ryzen-9-6980hs/,AMD Ryzen 9 6980HS,
https://laptopmedia.com/processor/amd-ryzen-ai-9-365/,AMD Ryzen AI 9 365,
https://laptopmedia.com/processor/amd-ryzen-9-6980hx/,AMD Ryzen 9 6980HX,
