Column,0,b_1,b_2,Notes
0,"2x  radeon r9 m290x (4gb gddr5, crossfire)",,Radeon R9 M290X,
1,custom radeon graphics (steam deck),,,
2,radeon 530 (2gb ddr3),,Radeon 530 Mobile DDR3,
3,radeon 530 (2gb gddr5),,Radeon 530 Mobile GDDR5,
4,radeon 535 / 530x (2gb gddr5),,Radeon 530X Mobile,which one?
5,radeon 610,,Radeon 610 Mobile,
6,radeon 610m,radeon 610m,"radeon 610m",
7,radeon 620,,Radeon 620 Mobile,
8,radeon 625,,Radeon 625 Mobile,
9,radeon 630,,Radeon 630 Mobile,
10,radeon 660m,radeon 660m,"radeon 660m",
11,radeon 680m,radeon 680m,"radeon 680m",
12,radeon 740m,radeon 740m,"radeon 740m",
13,radeon 760m,radeon 760m,"radeon 760m",
14,radeon 780m,radeon 780m,"radeon 780m",
15,radeon 880m,,"radeon 880m",
16,radeon 890m,radeon 890m,"radeon 890m",
17,radeon pro 5300m (4gb gddr6),,Radeon Pro 5300M,
18,radeon pro 5500m (4gb gddr6),,,
19,radeon pro 5500m (8gb gddr6),,Radeon Pro 5500M,
20,radeon pro 555x (4gb gddr5),,Radeon Pro 555X,
21,radeon pro 5600m (8gb hbm2),radeon pro 5600m (8gb hbm2),Radeon Pro 5600M,
22,radeon pro 560x (4gb gddr5),,Radeon Pro 560X,
23,radeon pro w6600m,,"radeon pro w6600m",
24,radeon pro wx 3200 (4gb gddr5),,Radeon Pro WX 3200 Mobile,
25,radeon r3 (beema),radeon r3 (beema),Radeon R3 Mobile Graphics,16.
26,radeon r4,,Radeon R4 Mobile Graphics,"3 same name, which one?"
27,radeon r5 (stoney ridge),,,
28,radeon rx 5300m,radeon rx 5300m,"radeon rx 5300m",
29,radeon rx 5500m (4gb gddr6),,Radeon RX 5500M,
30,radeon rx 5600m,radeon rx 5600m,"radeon rx 5600m",
31,radeon rx 640,radeon rx 640,Radeon RX 640 Mobile,
32,radeon rx 6500m,radeon rx 6500m,"radeon rx 6500m",
33,radeon rx 6550m,,"radeon rx 6550m",
34,radeon rx 6600m,radeon rx 6600m,"radeon rx 6600m",
35,radeon rx 6600s,radeon rx 6600s,"radeon rx 6600s",
36,radeon rx 6650m,radeon rx 6650m,"radeon rx 6650m",
37,radeon rx 6700m,radeon rx 6700m,"radeon rx 6700m",
38,radeon rx 6700m,radeon rx 6700m,"radeon rx 6700m",
39,radeon rx 6700s,radeon rx 6700s,"radeon rx 6700s",
40,radeon rx 6800m,radeon rx 6800m,"radeon rx 6800m",
41,radeon rx 6800s,radeon rx 6800s,"radeon rx 6800s",
42,radeon rx 6850m xt,radeon rx 6850m xt,"radeon rx 6850m xt",
43,radeon rx 7600m xt,radeon rx 7600m xt,"radeon rx 7600m xt",
44,radeon rx 7600s,radeon rx 7600s,"radeon rx 7600s",
45,radeon rx 7600s (95w),radeon rx 7600s (95w),,
46,radeon rx 7700s,radeon rx 7700s,"radeon rx 7700s",
47,radeon rx 7700s (120w),,,
48,radeon rx vega 10,radeon rx vega 10,Radeon RX Vega 10 Mobile,
49,radeon rx vega 2,,,
50,radeon rx vega 3,radeon rx vega 3,,
51,radeon rx vega 5,radeon rx vega 5,,
52,"radeon rx vega 6 (r4000/5000, 15w)","radeon rx vega 6 (r4000/5000, 15w)",,
53,"radeon rx vega 6 (r4000/5000, 35/45w)","radeon rx vega 6 (r4000/5000, 35/45w)",,
54,"radeon rx vega 7 (r4000/5000, 15w)","radeon rx vega 7 (r4000/5000, 15w)",,
55,"radeon rx vega 7 (r4000/5000, 15w)","radeon rx vega 7 (r4000/5000, 15w)",,
56,"radeon rx vega 7 (r4000/5000, 35/45w)","radeon rx vega 7 (r4000/5000, 35/45w)",,
57,"radeon rx vega 8 (r2000/3000, 15w)","radeon rx vega 8 (r2000/3000, 15w)",,
58,"radeon rx vega 8 (r2000/3000, 15w)","radeon rx vega 8 (r2000/3000, 15w)",,
59,"radeon rx vega 8 (r4000/5000, 15w)","radeon rx vega 8 (r4000/5000, 15w)",,
60,"radeon rx vega 8 (r4000/5000, 35/45w)","radeon rx vega 8 (r4000/5000, 35/45w)",,
61,radeon vega 9,,Radeon Vega 9 Mobile,
62,m1 gpu (7-core),,,
63,m1 gpu (8-core),,,
64,m1 max gpu (24-core),,,
65,m1 max gpu (32-core),,,
66,m1 pro gpu (14-core),,,
67,m1 pro gpu (16-core),,,
68,m2 gpu (10-core),,,
69,m2 gpu (8-core),,,
70,m2 gpu (9-core),,,
71,m2 max gpu,,,
72,m2 pro gpu,,,
73,m3 gpu (10-core),,,
74,m3 gpu (8-core),,,
75,m3 max gpu (30-core),,,
76,m3 max gpu (40-core),,,
77,m3 pro gpu (14-core),,,
78,m3 pro gpu (18-core),,,
79,arc (7-cores),arc (7-cores),,
80,arc (8-cores),arc (8-cores),,
81,arc a350m,arc a350m,"arc a350m",
82,arc a370m,arc a370m,"arc a370m",
83,arc a530m,arc a530m,"arc a530m",
84,arc a550m,arc a550m,"arc a550m",
85,arc a730m,arc a730m,"arc a730m",
86,arc pro a30m graphics,,Arc Pro A30M,
87,graphics (4-cores),graphics (4-cores),,
88,hd graphics (cherry trail),,,
89,hd graphics (ivy bridge),,,
90,hd graphics 400 (braswell),,HD Graphics 400 Mobile,
91,hd graphics 500 (apollo lake),,HD Graphics 500 Mobile,
92,hd graphics 515,,HD Graphics 515 Mobile,
93,hd graphics 620,,HD Graphics 620 Mobile,
94,hd graphics 630,,HD Graphics 630 Mobile,
95,iris plus graphics 655,,Iris Plus Graphics 655 Mobile,
96,iris plus graphics g4,,Iris Plus Graphics G4 48EU Mobile,
97,iris plus graphics g7,iris plus graphics g7,Iris Plus Graphics G7 64EU Mobile,
98,iris xe graphics g4,iris xe graphics g4,Iris Xe Graphics G4 48EU Mobile,
99,iris xe graphics g7 (64eu),,,
100,iris xe graphics g7 (80eu),iris xe graphics g7 (80eu),Iris Xe Graphics G7 80EU Mobile,
101,iris xe graphics g7 (80eu),iris xe graphics g7 (80eu),Iris Xe Graphics G7 80EU Mobile,
102,iris xe graphics g7 (96eu),iris xe graphics g7 (96eu),Iris Xe Graphics G7 96EU Mobile,
103,iris xe graphics g7 (96eu),iris xe graphics g7 (96eu),Iris Xe Graphics G7 96EU Mobile,
104,iris xe max,iris xe max,,
105,uhd graphics,uhd graphics,,
106,"uhd graphics (alder lake, 64eu)","uhd graphics (alder lake, 64eu)",UHD Graphics 64EU Mobile,201.
107,uhd graphics (jasper lake 16 eu),uhd graphics (jasper lake 16 eu),UHD Graphics 16EU Mobile,234.
108,uhd graphics (jasper lake 24 eu),,UHD Graphics 24EU Mobile,235.
109,uhd graphics (jasper lake 32 eu),uhd graphics (jasper lake 32 eu),UHD Graphics 32EU Mobile,236.
110,uhd graphics 600,uhd graphics 600,UHD Graphics 600 Mobile,
111,uhd graphics 605,uhd graphics 605,UHD Graphics 605 Mobile,
112,uhd graphics 620,,UHD Graphics 620 Mobile,
113,uhd graphics 630,uhd graphics 630,UHD Graphics 630 Mobile,
114,uhd graphics 770,uhd graphics 770,UHD Graphics 770 Mobile,202.
115,uhd graphics g1,uhd graphics g1,UHD Graphics G1 32EU Mobile,
116,uhd graphics xe (24eu),,,
117,uhd graphics xe 750 (16eu),uhd graphics xe 750 (16eu),,
118,uhd graphics xe 750 (32eu),uhd graphics xe 750 (32eu),,
119,uhd graphics xe g1,,,
120,uhd graphics xe g4 (48eu),uhd graphics xe g4 (48eu),,
121,"uhd graphics xe g4 (tiger lake, 48eu)","uhd graphics xe g4 (tiger lake, 48eu)",,
122,geforce gtx 1050 (3gb gddr5),,GeForce GTX 1050 Mobile 3 GB,
123,geforce gtx 1050 (4gb gddr5),,,
124,geforce gtx 1050 max-q (34w),,GeForce GTX 1050 Max-Q,
125,geforce gtx 1050 ti (4gb gddr5),,GeForce GTX 1050 Ti Mobile,460
126,geforce gtx 1050 ti max-q (4gb gddr5),,GeForce GTX 1050 Ti Max-Q,
127,geforce gtx 1060 (6gb gddr5),,GeForce GTX 1060 Mobile,
