gpu_link,name,html
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4090-laptop-175w/,"NVIDIA GeForce RTX 4090 (Laptop, 175W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4080-laptop-175w/,"NVIDIA GeForce RTX 4080 (Laptop, 175W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4090-laptop-150w/,"NVIDIA GeForce RTX 4090 (Laptop, 150W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4090-laptop-125w/,"NVIDIA GeForce RTX 4090 (Laptop, 125W)",
https://laptopmedia.com/video-card/amd-radeon-rx-7800m-xt/,AMD Radeon RX 7800M XT,
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4090-laptop-115w/,"NVIDIA GeForce RTX 4090 (Laptop, 115W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4080-laptop-140w/,"NVIDIA GeForce RTX 4080 (Laptop, 140W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4080-laptop-145w/,"NVIDIA GeForce RTX 4080 (Laptop, 145W)",
https://laptopmedia.com/video-card/nvidia-rtx-5000-ada-generation/,NVIDIA RTX 5000 Ada Generation (Laptop),
https://laptopmedia.com/video-card/nvidia-rtx-5000-ada-generation-105w/,NVIDIA RTX 5000 Ada Generation (105W),
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4080-laptop-105w/,"NVIDIA GeForce RTX 4080 (Laptop, 105W)",
https://laptopmedia.com/video-card/nvidia-rtx-5000-ada-generation-95w/,NVIDIA RTX 5000 Ada Generation (95W),
https://laptopmedia.com/video-card/nvidia-rtx-4000-ada-generation/,NVIDIA RTX 4000 Ada Generation (Laptop),
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4080-laptop-80w/,"NVIDIA GeForce RTX 4080 (Laptop, 80W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4080-laptop-115w/,"NVIDIA GeForce RTX 4080 (Laptop, 115W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-3080-ti-laptop-175w/,"NVIDIA GeForce RTX 3080 Ti (Laptop, 175W)",
https://laptopmedia.com/video-card/nvidia-geforce-rtx-4070-laptop-125w/,"NVIDIA GeForce RTX 4070 (Laptop, 125W)",
